,Variable,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2025-2034,SS
0,GDP ($Y_t$),-0.0039160844574442225,-0.004949912343740886,-0.01680176170231581,-0.020712950073064246,-0.022740940926896706,-0.0239554031697005,-0.024624559882279042,-0.024820894842572508,-0.024576073763812618,-0.02389027036043026,-0.019018333099685866,-0.1365227422960884
1,Consumption ($C_t$),0.014684903834982391,0.29934418159966847,0.06687848518279996,0.007030261065352755,-0.020699677766387023,-0.038601430656303205,-0.052491343833913955,-0.06430850951643866,-0.07455237364662937,-0.08403613079609412,0.006010398122820573,-0.2913105777809716
2,Capital Stock ($K_t$),0.0,-0.010138631508388524,-0.04496962250340899,-0.06078235809288914,-0.07158965716024747,-0.07995167047585094,-0.08658867643159661,-0.09174459303956455,-0.09556713065788758,-0.09814487422534528,-0.06364357166038782,-0.47535739901051094
3,Labor ($L_t$),-0.006118585568509698,-0.0020309428769622762,-0.0009537129594533756,0.001833088884681279,0.004746634594079259,0.0075556764440776894,0.010246220099081512,0.012842133356214829,0.015376969170114718,0.01790024856288705,0.006031834718874897,0.05457903048589873
4,Real interest rate ($r_t$),-1.8062796144612456,-1.7834022042566442,-1.7129703869592208,-1.68178167789516,-1.6619825859780268,-1.6489849916323036,-1.6407588546744172,-1.6361968587488123,-1.6342042674035901,-1.6337807664409547,-1.6845239584452152,-1.0273392545453115
5,Wage rate ($w_{t}$),0.0022142637811875462,-0.0029091236221481164,-0.015841426100404628,-0.02253970155753307,-0.02748054396931328,-0.03150285607863227,-0.03486104495830212,-0.037651536150439,-0.03993962822726531,-0.041775112010982655,-0.025251201363995827,-0.19095510926651724
